,time,on/off,cpu,mem,hdd
20483,568,0,0,0.0,0
20519,569,0,0,0.0,0
20555,570,0,0,0.0,0
20591,571,0,0,0.0,0
20627,572,0,0,0.0,0
20663,573,0,0,0.0,0
20699,574,0,0,0.0,0
20735,575,0,0,0.0,0
20771,576,0,0,0.0,0
20807,577,0,0,0.0,0
20843,578,0,0,0.0,0
20879,579,0,0,0.0,0
20915,580,0,0,0.0,0
20951,581,0,0,0.0,0
20987,582,0,0,0.0,0
21023,583,0,0,0.0,0
21059,584,0,0,0.0,0
21095,585,0,0,0.0,0
21131,586,0,0,0.0,0
21167,587,0,0,0.0,0
21203,588,0,0,0.0,0
21239,589,0,0,0.0,0
21275,590,0,0,0.0,0
21311,591,0,0,0.0,0
21347,592,0,0,0.0,0
21383,593,0,0,0.0,0
21419,594,0,0,0.0,0
21455,595,0,0,0.0,0
21491,596,0,0,0.0,0
21527,597,0,0,0.0,0
21563,598,0,0,0.0,0
21599,599,0,0,0.0,0
21635,600,0,0,0.0,0
21671,601,0,0,0.0,0
21707,602,0,0,0.0,0
21743,603,0,0,0.0,0
21779,604,0,0,0.0,0
21815,605,0,0,0.0,0
21851,606,0,0,0.0,0
21887,607,0,0,0.0,0
21923,608,0,0,0.0,0
21959,609,0,0,0.0,0
21995,610,0,0,0.0,0
22031,611,0,0,0.0,0
22067,612,0,0,0.0,0
22103,613,0,0,0.0,0
22139,614,0,0,0.0,0
22175,615,0,0,0.0,0
22211,616,0,0,0.0,0
22247,617,0,0,0.0,0
22283,618,0,0,0.0,0
22319,619,0,0,0.0,0
22355,620,0,0,0.0,0
22391,621,0,0,0.0,0
22427,622,0,0,0.0,0
22463,623,0,0,0.0,0
22499,624,0,0,0.0,0
22535,625,0,0,0.0,0
22571,626,0,0,0.0,0
22607,627,0,0,0.0,0
22643,628,0,0,0.0,0
22679,629,0,0,0.0,0
22715,630,0,0,0.0,0
22751,631,0,0,0.0,0
22787,632,0,0,0.0,0
22823,633,0,0,0.0,0
22859,634,0,0,0.0,0
22895,635,0,0,0.0,0
22931,636,0,0,0.0,0
22967,637,0,0,0.0,0
23003,638,0,0,0.0,0
23039,639,0,0,0.0,0
23075,640,0,0,0.0,0
23111,641,0,0,0.0,0
23147,642,0,0,0.0,0
23183,643,0,0,0.0,0
23219,644,0,0,0.0,0
23255,645,0,0,0.0,0
23291,646,0,0,0.0,0
23327,647,0,0,0.0,0
23363,648,0,0,0.0,0
23399,649,0,0,0.0,0
23435,650,0,0,0.0,0
23471,651,0,0,0.0,0
23507,652,0,0,0.0,0
23543,653,0,0,0.0,0
23579,654,0,0,0.0,0
23615,655,0,0,0.0,0
23651,656,0,0,0.0,0
23687,657,0,0,0.0,0
23723,658,0,0,0.0,0
23759,659,0,0,0.0,0
23795,660,0,0,0.0,0
23831,661,0,0,0.0,0
23867,662,0,0,0.0,0
23903,663,0,0,0.0,0
23939,664,0,0,0.0,0
23975,665,0,0,0.0,0
24011,666,0,0,0.0,0
24047,667,0,0,0.0,0
24083,668,0,0,0.0,0
24119,669,0,0,0.0,0
24155,670,0,0,0.0,0
24191,671,0,0,0.0,0
24227,672,0,0,0.0,0
24263,673,0,0,0.0,0
24299,674,0,0,0.0,0
24335,675,0,0,0.0,0
24371,676,0,0,0.0,0
24407,677,0,0,0.0,0
24443,678,0,0,0.0,0
24479,679,0,0,0.0,0
24515,680,0,0,0.0,0
24551,681,0,0,0.0,0
24587,682,0,0,0.0,0
24623,683,0,0,0.0,0
24659,684,0,0,0.0,0
24695,685,0,0,0.0,0
24731,686,0,0,0.0,0
24767,687,0,0,0.0,0
24803,688,0,0,0.0,0
24839,689,0,0,0.0,0
24875,690,0,0,0.0,0
24911,691,0,0,0.0,0
24947,692,0,0,0.0,0
24983,693,0,0,0.0,0
25019,694,0,0,0.0,0
25055,695,0,0,0.0,0
25091,696,0,0,0.0,0
25127,697,0,0,0.0,0
25163,698,0,0,0.0,0
25199,699,0,0,0.0,0
25235,700,0,0,0.0,0
25271,701,0,0,0.0,0
25307,702,0,0,0.0,0
25343,703,0,0,0.0,0
25379,704,0,0,0.0,0
25415,705,0,0,0.0,0
25451,706,0,0,0.0,0
25487,707,0,0,0.0,0
25523,708,0,0,0.0,0
25559,709,0,0,0.0,0
25595,710,0,0,0.0,0
25631,711,0,0,0.0,0
25667,712,0,0,0.0,0
25703,713,0,0,0.0,0
25739,714,0,0,0.0,0
25775,715,0,0,0.0,0
25811,716,1,30000,4000.0,128
25847,717,0,0,0.0,0
25883,718,0,0,0.0,0
25919,719,0,0,0.0,0
25955,720,1,30000,4000.0,128
25991,721,0,0,0.0,0
26027,722,1,30000,4000.0,128
26063,723,1,30000,4000.0,128
26099,724,1,30000,4000.0,128
26135,725,1,30000,4000.0,128
26171,726,1,30000,4000.0,128
26207,727,1,28500,3768.0,128
26243,728,1,28500,3768.0,128
26279,729,1,28500,3768.0,128
26315,730,1,28500,3768.0,128
26351,731,1,28500,3768.0,128
26387,732,1,28500,3768.0,128
26423,733,1,28500,3768.0,128
26459,734,1,28500,3768.0,128
26495,735,1,28500,3768.0,128
26531,736,1,30000,3968.0,128
26567,737,1,30000,3968.0,128
26603,738,1,30000,3968.0,128
26639,739,1,30000,3968.0,128
26675,740,1,30000,3968.0,128
26711,741,1,30000,3968.0,128
26747,742,1,30000,3968.0,128
26783,743,1,30000,3968.0,128
26819,744,1,30000,3968.0,128
26855,745,1,30000,3968.0,128
26891,746,1,30000,3968.0,128
26927,747,1,30000,3968.0,128
26963,748,1,30000,3968.0,128
26999,749,1,30000,3968.0,128
27035,750,1,30000,3968.0,128
27071,751,1,30000,3968.0,128
27107,752,1,30000,3968.0,128
27143,753,1,30000,3968.0,128
27179,754,1,30000,3968.0,128
27215,755,1,30000,3968.0,128
27251,756,1,30000,3968.0,128
27287,757,1,30000,3968.0,128
27323,758,1,30000,3968.0,128
27359,759,1,30000,3968.0,128
27395,760,1,30000,3968.0,128
27431,761,1,30000,3968.0,128
27467,762,1,30000,3968.0,128
27503,763,1,30000,3968.0,128
27539,764,1,30000,3968.0,128
27575,765,1,30000,3968.0,128
27611,766,1,30000,3968.0,128
27647,767,1,30000,3968.0,128
27683,768,1,30000,3968.0,128
27719,769,1,30000,3968.0,128
27755,770,1,30000,3968.0,128
27791,771,1,30000,3968.0,128
27827,772,1,30000,3968.0,128
27863,773,1,30000,3968.0,128
27899,774,1,30000,3968.0,128
27935,775,1,30000,3968.0,128
27971,776,1,30000,3968.0,128
28007,777,1,30000,3968.0,128
28043,778,1,30000,3968.0,128
28079,779,1,30000,3968.0,128
28115,780,1,30000,3968.0,128
28151,781,1,30000,3968.0,128
28187,782,1,30000,3968.0,128
28223,783,1,30000,3968.0,128
28259,784,1,30000,3968.0,128
28295,785,1,30000,3968.0,128
28331,786,1,30000,3968.0,128
28367,787,1,30000,3968.0,128
28403,788,1,30000,3968.0,128
28439,789,1,30000,3968.0,128
28475,790,1,30000,3968.0,128
28511,791,1,30000,3968.0,128
28547,792,1,30000,3968.0,128
28583,793,1,30000,3968.0,128
28619,794,1,30000,3968.0,128
28655,795,1,30000,3968.0,128
28691,796,1,30000,3968.0,128
28727,797,1,30000,3968.0,128
28763,798,1,30000,3968.0,128
28799,799,1,30000,3968.0,128
28835,800,1,30000,3968.0,128
28871,801,1,30000,3968.0,128
28907,802,1,30000,3968.0,128
28943,803,1,22500,3766.72,128
28979,804,1,22500,3766.72,128
29015,805,1,22500,3766.72,128
29051,806,1,22500,3766.72,128
29087,807,1,22500,3766.72,128
29123,808,1,22500,3766.72,128
29159,809,1,22500,3766.72,128
29195,810,1,22500,3766.72,128
29231,811,1,30000,3966.72,128
29267,812,1,30000,3966.72,128
29303,813,1,30000,3966.72,128
29339,814,1,30000,3966.72,128
29375,815,1,30000,3966.72,128
29411,816,1,30000,3966.72,128
29447,817,1,30000,3966.72,128
29483,818,1,30000,3966.72,128
29519,819,1,30000,3966.72,128
29555,820,1,30000,3966.72,128
29591,821,1,30000,3966.72,128
29627,822,1,30000,3966.72,128
29663,823,1,30000,3966.72,128
29699,824,1,30000,3966.72,128
29735,825,1,30000,3966.72,128
29771,826,1,30000,3966.72,128
29807,827,1,30000,3966.72,128
29843,828,1,30000,3966.72,128
29879,829,1,30000,3966.72,128
29915,830,1,30000,3966.72,128
29951,831,1,30000,3966.72,128
29987,832,1,30000,3966.72,128
30023,833,1,30000,3966.72,128
30059,834,1,30000,3966.72,128
30095,835,1,30000,3966.72,128
30131,836,1,30000,3966.72,128
30167,837,1,30000,3966.72,128
30203,838,1,27000,3165.4399999999996,128
30239,839,1,27000,3165.4399999999996,128
30275,840,1,25500,2933.4399999999996,128
30311,841,1,25500,2933.4399999999996,128
30347,842,1,25500,2933.4399999999996,128
30383,843,1,28500,3733.4399999999996,128
30419,844,1,28500,3733.4399999999996,128
30455,845,1,28500,3733.4399999999996,128
30491,846,1,28500,3733.4399999999996,128
30527,847,1,28500,3733.4399999999996,128
30563,848,1,28500,3733.4399999999996,128
30599,849,1,28500,3733.4399999999996,128
30635,850,1,30000,3933.4399999999996,128
30671,851,1,30000,3933.4399999999996,128
30707,852,1,30000,3933.4399999999996,128
30743,853,1,30000,3933.4399999999996,128
30779,854,1,30000,3933.4399999999996,128
30815,855,1,30000,3933.4399999999996,128
30851,856,1,30000,3933.4399999999996,128
30887,857,1,27000,3132.1599999999994,128
30923,858,1,27000,3132.1599999999994,128
30959,859,1,30000,3932.1599999999994,128
30995,860,1,30000,3932.1599999999994,128
31031,861,1,30000,3932.1599999999994,128
31067,862,1,30000,3932.1599999999994,128
31103,863,1,0,3932.1599999999994,128
31139,864,1,0,3932.1599999999994,128
31175,865,1,0,3130.879999999999,128
31211,866,1,0,2128.319999999999,128
31247,867,1,0,2128.319999999999,128
31283,868,1,0,2128.319999999999,128
31319,869,1,0,2128.319999999999,128
31355,870,1,0,2128.319999999999,128
31391,871,1,0,2128.319999999999,128
31427,872,1,0,2128.319999999999,128
31463,873,1,0,2128.319999999999,128
31499,874,1,0,2128.319999999999,128
31535,875,1,0,2128.319999999999,128
31571,876,1,0,2128.319999999999,128
31607,877,1,0,2128.319999999999,128
31643,878,1,0,2128.319999999999,128
31679,879,1,0,2128.319999999999,128
31715,880,1,0,2128.319999999999,128
31751,881,1,0,2128.319999999999,128
31787,882,1,0,2128.319999999999,128
31823,883,1,0,2128.319999999999,128
31859,884,1,0,2128.319999999999,128
31895,885,1,0,2128.319999999999,128
31931,886,1,0,2128.319999999999,128
31967,887,1,0,2128.319999999999,128
32003,888,1,0,2128.319999999999,128
32039,889,1,0,2128.319999999999,128
32075,890,1,0,1927.0399999999988,128
32111,891,1,0,1725.7599999999989,128
32147,892,1,0,1524.4799999999989,128
32183,893,1,0,1524.4799999999989,128
32219,894,1,0,1524.4799999999989,128
